,Date,Open,High,Low,Volume,News Sentiment
0,2008-08-08,11432.089844,11759.959961,11388.040039,212830000,-0.23527999222278595
1,2008-08-11,11729.669922,11867.110352,11675.530273,183190000,-0.20440655946731567
2,2008-08-12,11781.700195,11782.349609,11601.519531,173590000,-0.22080035507678986
3,2008-08-13,11632.80957,11633.780273,11453.339844,182550000,-0.24789950251579285
4,2008-08-14,11532.070313,11718.280273,11450.889648,159790000,-0.2399146854877472
5,2008-08-15,11611.209961,11709.889648,11599.730469,215040000,-0.23880541324615479
6,2008-08-18,11659.650391,11690.429688,11434.120117,156290000,-0.2036333531141281
7,2008-08-19,11478.089844,11478.169922,11318.5,171580000,-0.21166355907917023
8,2008-08-20,11345.94043,11454.150391,11290.580078,144880000,-0.2081180363893509
9,2008-08-21,11415.230469,11476.209961,11315.570313,130020000,-0.2514992356300354
10,2008-08-22,11426.790039,11632.129883,11426.790039,138790000,-0.2732883095741272
11,2008-08-25,11626.19043,11626.269531,11362.629883,148610000,-0.2626509368419647
12,2008-08-26,11383.55957,11436.240234,11340.410156,119800000,-0.27406883239746094
13,2008-08-27,11412.459961,11554.459961,11381.769531,120580000,-0.28320905566215515
14,2008-08-28,11499.870117,11715.179688,11499.790039,149150000,-0.2619582414627075
15,2008-08-29,11713.230469,11713.230469,11543.389648,166910000,-0.22463874518871307
16,2008-09-02,11545.629883,11790.169922,11471.900391,177090000,-0.19732989370822906
17,2008-09-03,11506.009766,11554.379883,11416.530273,174250000,-0.1990765780210495
18,2008-09-04,11532.480469,11532.480469,11176.019531,229200000,-0.2027113288640976
19,2008-09-05,11185.629883,11245.150391,11037.849609,198300000,-0.23902662098407745
20,2008-09-08,11224.870117,11570.660156,11224.790039,273000000,-0.22709038853645325
21,2008-09-09,11514.730469,11577.5,11230.730469,257300000,-0.22392933070659637
22,2008-09-10,11233.910156,11380.629883,11215.259766,214260000,-0.2361259162425995
23,2008-09-11,11264.44043,11445.679688,11098.669922,247820000,-0.22428491711616516
24,2008-09-12,11429.320313,11459.929688,11280.400391,238890000,-0.24968625605106354
25,2008-09-15,11416.370117,11416.450195,10917.509766,432970000,-0.2596699595451355
26,2008-09-16,10905.620117,11093.219727,10742.700195,494760000,-0.3189133107662201
27,2008-09-17,11056.580078,11057.30957,10595.900391,463200000,-0.34518638253211975
28,2008-09-18,10609.009766,11076.44043,10459.44043,488060000,-0.3737887144088745
29,2008-09-19,11027.509766,11483.049805,11026.700195,655110000,-0.3923042118549347
30,2008-09-22,11394.419922,11394.580078,10992.200195,213210000,-0.4182415306568146
31,2008-09-23,11015.69043,11143.209961,10833.94043,204480000,-0.4312511682510376
32,2008-09-24,10850.019531,10928.400391,10753.570313,183630000,-0.4686761796474457
33,2008-09-25,10827.169922,11129.19043,10827.009766,218530000,-0.4787675440311432
34,2008-09-26,11019.040039,11168.05957,10868.820313,232560000,-0.49509161710739136
35,2008-09-29,11139.620117,11139.94043,10365.450195,385940000,-0.5195149779319763
36,2008-09-30,10371.580078,10868.900391,10371.419922,319770000,-0.5578630566596985
37,2008-10-01,10847.400391,10882.519531,10631.950195,256670000,-0.5643783807754517
38,2008-10-02,10825.540039,10825.540039,10439.519531,395330000,-0.5633172392845154
39,2008-10-03,10483.959961,10796.259766,10310.25,299690000,-0.5819553732872009
40,2008-10-06,10322.519531,10322.759766,9525.320313,391460000,-0.5834764242172241
41,2008-10-07,9955.419922,10124.030273,9436.669922,362520000,-0.6060993075370789
42,2008-10-08,9437.230469,9628.070313,9194.780273,479270000,-0.6231423020362854
43,2008-10-09,9261.69043,9448.139648,8579.19043,436740000,-0.6199007630348206
44,2008-10-10,8568.669922,8901.280273,7882.509765999999,674920000,-0.6415382623672485
45,2008-10-13,8462.419922,9427.990234,8462.179688,399290000,-0.6328176259994507
46,2008-10-14,9388.969727,9794.370117,9085.429688,412740000,-0.6148911118507385
47,2008-10-15,9301.910156,9308.759766,8530.120117,374350000,-0.5943338871002197
48,2008-10-16,8577.040039,9013.269531,8197.669922,422450000,-0.5936028957366943
49,2008-10-17,8975.349609,9281.120117,8718.25,360600000,-0.5723675489425659
50,2008-10-20,8852.299805,9266.629883,8852.219727,241400000,-0.5519642233848572
51,2008-10-21,9262.799805,9284.549805,9004.269531,231160000,-0.5275492072105408
52,2008-10-22,9027.839844,9027.839844,8335.299805,348840000,-0.5279136300086975
53,2008-10-23,8519.769531,8795.990234,8243.549805,340740000,-0.5258151888847351
54,2008-10-24,8683.209961,8683.209961,8187.47998,335680000,-0.5423116087913513
55,2008-10-27,8375.919922,8599.099609,8143.589844,281180000,-0.4825398623943329
56,2008-10-28,8178.720215,9082.080078,8174.72998,372160000,-0.4766131043434143
57,2008-10-29,9062.330078,9363.320313,8890.290039,316230000,-0.4830273687839508
58,2008-10-30,9004.660156,9266.469727,8976.870117,267210000,-0.4834457039833069
59,2008-10-31,9179.089844,9454.360352,9119.200195,310950000,-0.4795566499233246
60,2008-11-03,9326.040039,9410.549805,9255.480469,180970000,-0.4417611062526703
61,2008-11-04,9323.889648,9653.950195,9323.889648,254930000,-0.4440842270851135
62,2008-11-05,9616.599609,9616.599609,9111.469727,264640000,-0.4284696877002716
63,2008-11-06,9134.009766,9155.44043,8637.169922,344350000,-0.41906774044036865
64,2008-11-07,8696.030273,8961.570313,8696.030273,246300000,-0.4184696078300476
65,2008-11-10,8946.599609,9159.580078,8760.459961,221230000,-0.36955440044403076
66,2008-11-11,8864.320313,8867.910156,8560.709961,257270000,-0.3496203124523163
67,2008-11-12,8684.519531,8684.599609,8265.290039,314660000,-0.3467704653739929
68,2008-11-13,8281.139648,8876.589844,7965.419922,476600000,-0.34662166237831116
69,2008-11-14,8822.19043,8923.179688,8469.990234,304370000,-0.35699716210365295
70,2008-11-17,8494.839844,8571.299805,8246.889648,278220000,-0.36784791946411133
71,2008-11-18,8273.339844,8477.950195,8105.439941,366390000,-0.36832720041275024
72,2008-11-19,8420.69043,8504.639648,7987.080078,350470000,-0.38767534494400024
73,2008-11-20,7995.529785,8187.399901999999,7506.970215,528130000,-0.3956943452358246
74,2008-11-21,7552.370117,8071.75,7449.379883,569010000,-0.401498943567276
75,2008-11-24,8048.089844,8599.019531,8048.089844,491890000,-0.35821333527565
76,2008-11-25,8445.139648,8607.379883,8281.459961,374020000,-0.35227352380752563
77,2008-11-26,8464.490234,8726.610352,8311.169922,283920000,-0.3523128628730774
78,2008-11-28,8724.700195,8831.349609,8672.69043,155510000,-0.32807785272598267
79,2008-12-01,8826.889648,8827.049805,8141.359863,321010000,-0.29284384846687317
80,2008-12-02,8153.75,8437.169922,8143.509765999999,307520000,-0.31741058826446533
81,2008-12-03,8409.139648,8624.19043,8234.150391,294680000,-0.3056591749191284
82,2008-12-04,8587.070313,8631.990234,8259.400391,280880000,-0.3151232898235321
